country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,39,,,40.4,,,32.8,34.8,,,
Albania,,,,,,,,,,,,,,,,,,,,,7.5,,,,9.6,,,,,,,,,11.8
Algeria,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,2.5,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,,
Armenia,,,,,,,,,,,,,,,,19.1,,,,,9.9,,,,,7.2,,,,,,5.3,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,11,,,,,,,
Bangladesh,,,,,,,,,,73.3,,,68.5,,,65.3,,,,68.7,,64.1,66.2,,,,64.9,,52.3,58.6,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,3.2,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,,,,,,
Benin,,,,,,,,,,,,38.8,,,,,36.7,,,,,34.4,,,,,,31.9,,25.9,,,,30.6
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,,,,,,
Bolivia,,,,,23.7,,,,,24.9,,,,21.2,,,,,25.8,,,,,21.7,,,,,,,19.4,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,3.5,,,,,,
Botswana,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,21.8,,,,,,,,,,23.7,,,,,,,,,,35.6,,,,,,,,,,,,
Burkina Faso,,,,,,,,,61.7,,,,,,62.3,,,,51.9,,,47.8,,,,51.6,,,,,,,,
Burundi,,,17.3,,,,,,,,,,,,,,,,,,17.8,,,,,20.4,,,,,,,19,
Cambodia,,,,,,,,,,,,,,,,24.8,,,,,23.3,,,,,18.4,,,,18.5,,,,
Cameroon,,,,,,,57.7,,,,,,,43.4,,,,,,47.2,,36.3,,,,,38.4,,,31,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,57,,,,,,,,,,,60.6,,,,67.9,,,,,,,,
Chad,,,,,,,,,,,,,71.4,,,,,,,72,,,,,,68.1,,,,,66.9,,,
Colombia,,23.3,,,,22,,,,,25.6,,,,,21.4,,,,,23.1,,,,,23,,,,,23.4,,,
Comoros,,,,,,,,,,,,29.7,,,,,,,,,,,,,,,,31.6,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,39.1,,,39.4,,,,37.3,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,30.8,,,,33.3,,,32.6,,,27.3,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,,,,,
Cote d'Ivoire,,,,,,,,,,43.5,,,,,33.2,,,,,,34.5,,,,,,,33.2,,,,27,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,,26,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,
Dominican Republic,,34.4,,,,,30.2,,,,,37.6,,,31,,,41.2,,,,40.3,39.6,,,40.8,,,36.5,35.9,,,,
Ecuador,,,26,,,,,,,,,,,,,,,,,22.2,,,,,,,,,,,,,,
Egypt,,,,30.5,,,,26.7,,,26.8,,,,,19.5,,,18.5,,16.6,,,16.6,,,,,,17.4,,,,
El Salvador,37.7,,,,,,,,,,,,,,,,,,27.4,,,,,25.4,,,,,,25.5,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,,,,,,
Eritrea,,,,,,,,,,,54.2,,,,,,,47,,,,,,,,40.7,,,,,,,,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,7.7,,,6.5,,,,5.3,,,,
Ethiopia,,,,,,,,,,,,,,,,49.1,,,,,49.2,,,,,,41.2,,,,,40.3,,
Gabon,,,,,,,,,,,,,,,,33.6,,,,,,,,,,,,21.9,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,35.9,,,,36.4,,,30.4,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,17.2,,,,,14,,,,,,,,
Ghana,,,,40.9,,,,,37.6,,,,,35.5,,,,,27.9,,,22,,24.6,,,20.7,,,20.7,,,,
Guatemala,,,41.2,,,,,,,,38.6,,,,34.3,,,35,,,,,,,30.3,,,,,,29.5,,,
Guinea,,,,,,,,,,,,,,,64.5,,,,,,63.1,,,,,,,51.7,,,,51.2,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,24.1,,,,22,,,,24.4,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,28.2,,19.8,,23,,,,,30.2,,,,
Haiti,,,,,,,,,,,23.8,,,,,24.1,,,,,,29.9,,,,,,17.5,,,,,14.9,
Honduras,,,,,,,,,,,,,,,,,,,,,,38.8,,,,,,33.6,,,,,,
India,,,,,,,,,50.2,,,,,,50,,,,,,,44.5,,,,,,,,,,25.3,,
Indonesia,,,35.1,,,,34.1,,,30.8,,,29.6,,,,,,24.2,,,,22,,,,,17,13.6,,,,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,17,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,17,,,,,24.3,,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,7.9,,,,,,,
Jordan,,,,,,16.4,,,,,,,13.5,,,,,11.1,,,,,9.6,,10.2,,,8.4,,,,,,9.7
Kazakhstan,,,,,,,,,,,18.5,,,,14.4,,,,,,,7.3,,,,,6.1,,,,7,,,
Kenya,,,,,31,,,,28.1,,,,,24.6,,,,,24.6,,,,,,26.4,,,,,22.9,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,21.2,,,,,,,,,10.4,,,,,,7.8,,11.6,,,,
